id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3538,HD 82943 b,90,1.681 Jupiters,6.54993,2003
3539,HD 82943 c,90,1.959 Jupiters,6.54993,2003
3540,HD 8326 b,100,0.20955 Jupiters,8.76,2019
3541,HD 83443 b,133,0.402 Jupiters,8.23,2002
3542,HD 83443 c,133,1.5 Jupiters,8.23,2022
3543,HD 8535 b,181,0.68 Jupiters,7.7,2010
3544,HD 85390 b,109,31.46517 Earths,8.54,2009
3545,HD 85512 b,37,3.6 Earths,7.67,2011
3546,HD 8574 b,146,2.03 Jupiters,7.12,2002
3547,HD 86065 b,132,8.81576 Jupiters,9.36,2022
3548,HD 86081 b,339,1.48 Jupiters,8.73,2006
3549,HD 86226 b,149,0.45 Jupiters,7.93,2009
3550,HD 86226 c,149,7.25 Earths,7.93,2020
3551,HD 86264 b,221,12.81667 Jupiters,7.41,2009
3552,HD 8673 b,124,13.40117 Jupiters,6.331,2009
3553,HD 86950 b,684,3.6 Jupiters,7.47,2016
3554,HD 87646 b,240,12.4 Jupiters,8.07,2016
3555,HD 87883 b,60,5.36602 Jupiters,7.56,2009
3556,HD 88072 b,117,8.07325 Jupiters,7.55,2022
3557,HD 88133 b,240,1.02 Jupiters,8.01852,2004
3558,HD 89307 b,104,2.11 Jupiters,7.02569,2009
3559,HD 89345 b,432,34.9613 Earths,9.38,2018
3560,HD 89744 b,126,8.35 Jupiters,5.73469,1999
3561,HD 90156 b,72,17.98 Earths,6.92,2009
3562,HD 9174 b,266,1.11 Jupiters,8.4,2016
3563,HD 92788 b,113,3.76 Jupiters,7.31637,2000
3564,HD 92788 c,113,3.67 Jupiters,7.31637,2019
3565,HD 93083 b,93,0.37 Jupiters,8.3,2005
3566,HD 93351 b,183,3.53853 Earths,9.12,2022
3567,HD 93351 c,183,13.31055 Jupiters,9.12,2022
3568,HD 93385 b,141,4.2 Earths,7.49,2021
3569,HD 93385 c,141,7.1 Earths,7.49,2021
3570,HD 93385 d,141,8.7 Earths,7.49,2021
3571,HD 93963 A b,269,7.8 Earths,9.182,2022
3572,HD 93963 A c,269,19.2 Earths,9.182,2022
3573,HD 9446 b,164,0.7 Jupiters,8.35,2009
3574,HD 9446 c,164,1.82 Jupiters,8.35,2009
3575,HD 86226 c,149,7.25 Earths,7.93,2020
3576,HD 86264 b,221,12.81667 Jupiters,7.41,2009
3577,HD 8673 b,124,13.40117 Jupiters,6.331,2009
3578,HD 86950 b,684,3.6 Jupiters,7.47,2016
3579,HD 87646 b,240,12.4 Jupiters,8.07,2016
3580,HD 87883 b,60,5.36602 Jupiters,7.56,2009
